pseudoID,factor_1,factor_2,factor_2a,factor_3,factor_4,factor_5,factor_5a,factor_6,factor_7,factor_8,factor_9,allRaces,race,sex,psa_court_case_eligible_booking,psa_outcome_eligible,fta_points,nca_points,nvca_points,fta_score,nca_score,nvca_score,nvca_flag,fta,nca,nvca,time_at_risk_fta,time_at_risk_nca,time_at_risk_nvca_new,race1,sex1,release
914719589,0,1,0,0,0,0,0,0,0,0,0,White,White,Female,1,Released,0,0,2,1,1,2,0,0.0,0.0,0.0,65.0,65.0,65.0,1,0,1
5737432033,0,0,0,0,0,0,0,0,0,0,0,Black,Non-white,Male,1,Released,0,0,0,1,1,1,0,0.0,0.0,0.0,,,,0,1,1
8927182114,0,1,0,0,0,0,0,0,0,0,0,Black,Non-white,Male,1,Released,0,0,2,1,1,2,0,0.0,0.0,0.0,212.0,212.0,212.0,0,1,1
8808045033,0,0,0,0,0,0,0,0,0,0,0,Black,Non-white,Male,1,Released,0,0,0,1,1,1,0,0.0,0.0,0.0,1093.0,1093.0,1093.0,0,1,1
2626484162,0,0,0,0,1,1,1,2,0,1,1,Black,Non-white,Male,1,Released,2,5,2,3,4,2,0,1.0,1.0,0.0,232.0,86.0,953.0,0,1,1
4578745366,0,1,0,1,1,1,1,1,1,0,1,Black,Non-white,Male,1,Detained,4,9,5,4,6,5,1,,,,,,,0,1,0
3150138157,0,1,0,0,0,0,0,0,0,0,0,Unknown,Non-white,Male,1,Released,0,0,2,1,1,2,0,0.0,0.0,0.0,72.0,72.0,72.0,0,1,1
141645426,0,0,0,0,1,1,1,0,0,1,0,White,White,Male,1,Detained,2,2,1,3,2,1,0,,,,,,,1,1,0
4126630359,0,0,0,0,0,0,0,0,0,0,0,Black,Non-white,Male,1,Detained,0,0,0,1,1,1,0,,,,,,,0,1,0
4805704326,1,0,0,0,0,0,0,0,0,0,0,Black,Non-white,Male,1,Released,0,2,0,1,2,1,0,0.0,0.0,0.0,42.0,42.0,42.0,0,1,1
2317695045,0,1,0,0,1,1,1,2,0,1,1,Black,Non-white,Female,1,Detained,2,5,4,3,4,4,1,,,,,,,0,0,0
109827471,0,0,0,0,1,0,1,2,1,1,1,Black,Non-white,Male,1,Detained,4,5,2,4,4,2,0,,,,,,,0,1,0
4775920181,0,1,0,1,0,0,0,0,1,1,0,Black,Non-white,Male,1,Released,4,4,3,4,3,3,0,1.0,0.0,0.0,511.0,1076.0,1076.0,0,1,1
5756809541,0,0,0,0,1,0,1,0,1,1,0,Black,Non-white,Male,1,Released,4,2,1,4,2,1,0,1.0,1.0,0.0,364.0,96.0,548.0,0,1,1
4411211634,0,1,0,0,1,0,1,0,0,1,0,Hispanic,Non-white,Male,1,Released,2,1,3,3,2,3,0,0.0,0.0,0.0,226.0,226.0,226.0,0,1,1
3334201337,1,0,0,0,0,0,0,0,0,0,0,Black,Non-white,Male,1,Released,0,2,0,1,2,1,0,0.0,0.0,0.0,12.0,12.0,12.0,0,1,1
4444489890,0,0,0,0,0,0,0,0,0,0,0,Black,Non-white,Male,1,Detained,0,0,0,1,1,1,0,,,,,,,0,1,0
2632321010,0,0,0,0,1,1,1,1,0,1,1,Black,Non-white,Male,1,Released,2,5,2,3,4,2,0,0.0,0.0,0.0,80.0,80.0,80.0,0,1,1
6234540698,0,1,0,1,1,0,1,1,0,1,0,Black,Non-white,Female,1,Detained,3,5,5,4,4,5,1,,,,,,,0,0,0
8644691887,0,1,0,0,0,0,0,0,0,0,0,White,White,Male,1,Released,0,0,2,1,1,2,0,0.0,0.0,0.0,240.0,240.0,240.0,1,1,1
2604610470,0,0,0,0,0,0,0,0,0,0,0,White,White,Female,1,Released,0,0,0,1,1,1,0,0.0,0.0,0.0,220.0,220.0,220.0,1,0,1
4437856663,0,0,0,0,0,0,0,0,0,0,0,Black,Non-white,Female,1,Released,0,0,0,1,1,1,0,0.0,0.0,0.0,,,,0,0,1
2171447081,0,1,0,0,0,0,0,0,0,1,0,Black,Non-white,Male,1,Released,1,0,2,2,1,2,0,0.0,0.0,0.0,243.0,243.0,243.0,0,1,1
2283591913,1,0,0,0,0,0,0,0,0,1,0,Black,Non-white,Male,1,Detained,1,2,0,2,2,1,0,,,,,,,0,1,0
238410150,0,0,0,0,1,0,1,0,0,0,0,Black,Non-white,Female,1,Released,1,1,1,2,2,1,0,0.0,0.0,0.0,38.0,38.0,38.0,0,0,1
1529743825,0,0,0,0,0,0,0,0,0,0,0,White,White,Female,1,Released,0,0,0,1,1,1,0,1.0,0.0,0.0,22.0,50.0,50.0,1,0,1
8844467072,0,0,0,0,1,0,1,1,0,0,0,Black,Non-white,Male,1,Released,1,2,2,2,2,2,0,0.0,1.0,1.0,240.0,81.0,81.0,0,1,1
7171831500,0,1,0,0,0,0,0,0,0,0,0,Black,Non-white,Male,1,Released,0,0,2,1,1,2,0,1.0,1.0,1.0,327.0,324.0,540.0,0,1,1
2940551094,1,1,0,0,0,0,0,0,0,0,0,White,White,Male,1,Detained,0,2,2,1,2,2,0,,,,,,,1,1,0
3683571766,0,0,0,1,0,0,0,0,0,0,0,Black,Non-white,Male,1,Released,1,3,1,2,3,1,0,0.0,0.0,0.0,154.0,154.0,154.0,0,1,1
8394876830,0,0,0,0,1,0,1,0,1,0,0,White,White,Male,1,Released,3,2,1,4,2,1,0,0.0,0.0,0.0,95.0,95.0,95.0,1,1,1
5330657456,0,0,0,0,1,0,1,1,0,0,0,Black,Non-white,Male,1,Detained,1,2,2,2,2,2,0,,,,,,,0,1,0
